-608990.777699	-532700.465695	-6305509.134591
-608990.77769891	-532700.46569470	-6305509.13459110
-608990.77769914	-532700.46569488	-6305509.13459119
-608990.77769939	-532700.46569503	-6305509.13459131
-608990.77769964	-532700.46569519	-6305509.13459140
-608990.77769991	-532700.46569537	-6305509.13459145
-608990.77770018	-532700.46569555	-6305509.13459145
-608990.77770042	-532700.46569575	-6305509.13459142
-608990.77770070	-532700.46569599	-6305509.13459140
-608990.77770097	-532700.46569625	-6305509.13459144
-608990.77770125	-532700.46569650	-6305509.13459154
-608990.77770154	-532700.46569676	-6305509.13459169
-608990.77770183	-532700.46569702	-6305509.13459189
-608990.77770217	-532700.46569729	-6305509.13459207
-608990.77770254	-532700.46569760	-6305509.13459224
-608990.77770293	-532700.46569794	-6305509.13459237
-608990.77770331	-532700.46569829	-6305509.13459248
-608990.77770373	-532700.46569867	-6305509.13459259
-608990.77770411	-532700.46569903	-6305509.13459274
-608990.77770450	-532700.46569938	-6305509.13459293
-608990.77770490	-532700.46569974	-6305509.13459317
-608990.77770530	-532700.46570011	-6305509.13459343
-608990.77770572	-532700.46570051	-6305509.13459366
-608990.77770616	-532700.46570094	-6305509.13459386
-608990.77770659	-532700.46570138	-6305509.13459401
-608990.77770702	-532700.46570182	-6305509.13459413
-608990.77770742	-532700.46570223	-6305509.13459427
-608990.77770779	-532700.46570261	-6305509.13459443
-608990.77770816	-532700.46570298	-6305509.13459465
-608990.77770851	-532700.46570333	-6305509.13459492
-608990.77770889	-532700.46570371	-6305509.13459520
-608990.77770931	-532700.46570412	-6305509.13459546
-608990.77770975	-532700.46570457	-6305509.13459569
-608990.77771022	-532700.46570505	-6305509.13459588
-608990.77771067	-532700.46570554	-6305509.13459607
-608990.77771113	-532700.46570603	-6305509.13459628
-608990.77771159	-532700.46570653	-6305509.13459653
-608990.77771206	-532700.46570702	-6305509.13459684
-608990.77771258	-532700.46570755	-6305509.13459719
-608990.77771309	-532700.46570807	-6305509.13459755
-608990.77771364	-532700.46570863	-6305509.13459789
-608990.77771421	-532700.46570922	-6305509.13459819
-608990.77771480	-532700.46570984	-6305509.13459847
-608990.77771540	-532700.46571047	-6305509.13459874
-608990.77771599	-532700.46571110	-6305509.13459903
-608990.77771656	-532700.46571170	-6305509.13459939
-608990.77771710	-532700.46571228	-6305509.13459981
-608990.77771765	-532700.46571286	-6305509.13460028
-608990.77771824	-532700.46571346	-6305509.13460076
-608990.77771882	-532700.46571407	-6305509.13460121
-608990.77771942	-532700.46571471	-6305509.13460161
-608990.77772005	-532700.46571538	-6305509.13460198
-608990.77772068	-532700.46571606	-6305509.13460234
-608990.77772128	-532700.46571670	-6305509.13460272
-608990.77772189	-532700.46571734	-6305509.13460314
-608990.77772247	-532700.46571795	-6305509.13460363
-608990.77772309	-532700.46571860	-6305509.13460417
-608990.77772371	-532700.46571925	-6305509.13460472
-608990.77772439	-532700.46571997	-6305509.13460525
-608990.77772509	-532700.46572072	-6305509.13460572
-608990.77772581	-532700.46572151	-6305509.13460615
-608990.77772650	-532700.46572226	-6305509.13460655
-608990.77772720	-532700.46572301	-6305509.13460696
-608990.77772787	-532700.46572372	-6305509.13460741
-608990.77772852	-532700.46572439	-6305509.13460792
-608990.77772918	-532700.46572507	-6305509.13460848
-608990.77772988	-532700.46572578	-6305509.13460905
-608990.77773059	-532700.46572653	-6305509.13460959
-608990.77773132	-532700.46572732	-6305509.13461008
-608990.77773208	-532700.46572815	-6305509.13461054
-608990.77773282	-532700.46572898	-6305509.13461098
-608990.77773353	-532700.46572979	-6305509.13461145
-608990.77773423	-532700.46573055	-6305509.13461197
-608990.77773494	-532700.46573131	-6305509.13461253
-608990.77773564	-532700.46573203	-6305509.13461314
-608990.77773637	-532700.46573277	-6305509.13461376
-608990.77773712	-532700.46573355	-6305509.13461434
-608990.77773793	-532700.46573441	-6305509.13461486
-608990.77773874	-532700.46573531	-6305509.13461535
-608990.77773955	-532700.46573622	-6305509.13461583
-608990.77774037	-532700.46573712	-6305509.13461633
-608990.77774116	-532700.46573800	-6305509.13461689
-608990.77774193	-532700.46573884	-6305509.13461755
-608990.77774272	-532700.46573968	-6305509.13461827
-608990.77774354	-532700.46574056	-6305509.13461902
-608990.77774440	-532700.46574146	-6305509.13461975
-608990.77774527	-532700.46574241	-6305509.13462044
-608990.77774616	-532700.46574339	-6305509.13462107
-608990.77774706	-532700.46574437	-6305509.13462169
-608990.77774795	-532700.46574535	-6305509.13462231
-608990.77774883	-532700.46574628	-6305509.13462299
-608990.77774972	-532700.46574722	-6305509.13462372
-608990.77775062	-532700.46574814	-6305509.13462450
-608990.77775156	-532700.46574911	-6305509.13462531
-608990.77775251	-532700.46575012	-6305509.13462609
-608990.77775349	-532700.46575117	-6305509.13462683
-608990.77775447	-532700.46575226	-6305509.13462752
-608990.77775545	-532700.46575336	-6305509.13462819
-608990.77775643	-532700.46575446	-6305509.13462888
-608990.77775740	-532700.46575552	-6305509.13462961
-608990.77775835	-532700.46575654	-6305509.13463042
-608990.77775932	-532700.46575754	-6305509.13463128
-608990.77776030	-532700.46575854	-6305509.13463216
-608990.77776130	-532700.46575959	-6305509.13463301
-608990.77776231	-532700.46576067	-6305509.13463381
-608990.77776334	-532700.46576180	-6305509.13463458
-608990.77776439	-532700.46576298	-6305509.13463532
-608990.77776543	-532700.46576415	-6305509.13463608
-608990.77776649	-532700.46576532	-6305509.13463688
-608990.77776754	-532700.46576645	-6305509.13463773
-608990.77776859	-532700.46576758	-6305509.13463863
-608990.77776966	-532700.46576869	-6305509.13463953
